"System.Time_Stamp","vtti.timestamp","vtti.file_id","IMU.Accel_X","IMU.Accel_Y","IMU.Accel_Z","Head_Unit.Alcohol_Level_Raw","Head_Unit.Day","IMU.Button_Press","Head_Unit.MSL_Altitude","IMU.Gyro_X","IMU.Gyro_Y","IMU.Gyro_Z","Mask.Confidence","Mask.X","Mask.X_Cal_0","Mask.Y","Mask.Y_Cal_0","Mask.Z","Mask.Z_Cal_0","Mask.X_Rotation","Mask.X_Rotation_Cal_0","Mask.Y_Rotation","Mask.Y_Rotation_Cal_0","Mask.Z_Rotation","Mask.Z_Rotation_Cal_0","Head_Unit.Heading","Road.Scout.Lane_Offset","Road.Scout.Estimated_Lane_Width","Head_Unit.Latitude","Road.Scout.Left_Lane_Distance_To_Right_Side","Road.Scout.Left_Lane_Probability_Marker_Exists","Road.Scout.Left_Lane_Right_Marker","Head_Unit.Light_Level_Raw","Head_Unit.Longitude","Head_Unit.Month","Head_Unit.Satellites_Used","SMS.Object_ID_T0","SMS.Object_ID_T1","SMS.Object_ID_T2","SMS.Object_ID_T3","SMS.Object_ID_T4","SMS.Object_ID_T5","SMS.Object_ID_T6","SMS.Object_ID_T7","Head_Unit.PDOP","SMS.X_Velocity_T0","SMS.X_Velocity_T1","SMS.X_Velocity_T2","SMS.X_Velocity_T3","SMS.X_Velocity_T4","SMS.X_Velocity_T5","SMS.X_Velocity_T6","SMS.X_Velocity_T7","SMS.Y_Velocity_T0","SMS.Y_Velocity_T1","SMS.Y_Velocity_T2","SMS.Y_Velocity_T3","SMS.Y_Velocity_T4","SMS.Y_Velocity_T5","SMS.Y_Velocity_T6","SMS.Y_Velocity_T7","SMS.X_Range_T0","SMS.X_Range_T1","SMS.X_Range_T2","SMS.X_Range_T3","SMS.X_Range_T4","SMS.X_Range_T5","SMS.X_Range_T6","SMS.X_Range_T7","SMS.Y_Range_T0","SMS.Y_Range_T1","SMS.Y_Range_T2","SMS.Y_Range_T3","SMS.Y_Range_T4","SMS.Y_Range_T5","SMS.Y_Range_T6","SMS.Y_Range_T7","Road.Scout.Right_Lane_Distance_To_Left_Side","Road.Scout.Right_Lane_Probability_Marker_Exists","Road.Scout.Right_Lane_Left_Marker","Head_Unit.Speed","FOT_Control.Speed","Head_Unit.Cabin_Temperature","Head_Unit.Time_Of_Day","System.video_frame","Head_Unit.Year","VehicleCAN_1.BrakePedalPosition","VehicleCAN_1.BrakePressure","VehicleCAN_1.VSELateralAcceleration","VehicleCAN_1.VSELongitudinalAcceleration","VehicleCAN_1.VehicleDynamicsYawRate","VehicleCAN_1.VehicleOdometer","VehicleNetworkBox.AdaptiveCruiseControlActive","VehicleNetworkBox.AdaptiveCruiseControlDriverSelectedSpeed","VehicleNetworkBox.AdaptiveCruiseControlHeadwaySetting","VehicleNetworkBox.CruiseControlActive","VehicleNetworkBox.CruiseControlDriverSelectedSpeed","VehicleNetworkBox.DriverAirbagDeploymentStatus","VehicleNetworkBox.DriverSeatbeltAttached","VehicleNetworkBox.DriverSeatbeltStatus","VehicleNetworkBox.DriverShiftControlTargetGear","VehicleNetworkBox.EngineSpeed","VehicleNetworkBox.FCAAlertOffIndicationOn","VehicleNetworkBox.FCAAlertPresent","VehicleNetworkBox.FCABrakePrefillRequest","VehicleNetworkBox.FCAGapStng","VehicleNetworkBox.FCAHeadwaySettingIndicationOn","VehicleNetworkBox.FrontPassengerSeatStatus","VehicleNetworkBox.LDWIndicator1","VehicleNetworkBox.LDWIndicator2","VehicleNetworkBox.LDWWarningDisabled","VehicleNetworkBox.LateralAcceleration","VehicleNetworkBox.LeftSideAirbagDeployed","VehicleNetworkBox.ParkLightLeftIndicationOn","VehicleNetworkBox.ParkLightLeftOn","VehicleNetworkBox.ParkLightRightIndicationOn","VehicleNetworkBox.ParkLightRightOn","VehicleNetworkBox.PassengerAirbagDeploymentStatus","VehicleNetworkBox.PassengerSeatOccupancyStatus","VehicleNetworkBox.PassengerSeatbeltAttached","VehicleNetworkBox.PassengerSeatbeltStatus","VehicleNetworkBox.RearLeftSeatbeltAttached","VehicleNetworkBox.RearMiddleSeatbeltAttached","VehicleNetworkBox.RearRightSeatbeltAttached","VehicleNetworkBox.ReversingLamp","VehicleNetworkBox.RightSideAirbagDeployed","VehicleNetworkBox.SecondRowCenterSeatStatus","VehicleNetworkBox.SecondRowLeftSeatStatus","VehicleNetworkBox.SecondRowLeftSeatbeltStatus","VehicleNetworkBox.SecondRowMiddleSeatbeltStatus","VehicleNetworkBox.SecondRowRightSeatStatus","VehicleNetworkBox.SecondRowRightSeatbeltStatus","VehicleNetworkBox.VehAheadDistance_FollowingDistance","VehicleNetworkBox.VehAheadDistance_FollowingTime","VehicleNetworkBox.VehicleDynamicsYawRate","VehicleNetworkBox.WindshieldWiperActive","VehicleNetworkBox.YawRate","VehicleCAN_1.ParkBrakeSwitchActive","VehicleNetworkBox.ParkBrakeSwitchActive","VehicleNetworkBox.ParkingAssistanceCleanIndicationOn","VehicleNetworkBox.ParkingAssistanceDisbaledIndicationOn","VehicleNetworkBox.ParkingAssistanceFailed","VehicleNetworkBox.ParkingAssistanceFrontExtendedDistance","VehicleNetworkBox.ParkingAssistanceFrontRegion1ObjectStatus","VehicleNetworkBox.ParkingAssistanceFrontRegion2ObjectStatus","VehicleNetworkBox.ParkingAssistanceFrontRegion3ObjectStatus","VehicleNetworkBox.ParkingAssistanceFrontRegion4ObjectStatus","VehicleNetworkBox.ParkingAssistanceFrontSensorBlocked","VehicleNetworkBox.ParkingAssistanceFrontSystemStatus","VehicleNetworkBox.ParkingAssistanceRearExtendedDistance","VehicleNetworkBox.ParkingAssistanceRearRegion1ObjectStatus","VehicleNetworkBox.ParkingAssistanceRearRegion2ObjectStatus","VehicleNetworkBox.ParkingAssistanceRearRegion3ObjectStatus","VehicleNetworkBox.ParkingAssistanceRearRegion4ObjectStatus","VehicleNetworkBox.ParkingAssistanceRearSensorBlocked","VehicleNetworkBox.ParkingAssistanceRearSystemStatus","VehicleNetworkBox.ParkingAssistanceSensorsDisturbedIndicationOn","VehicleNetworkBox.ParkingAssistanceStatus","VehicleNetworkBox.ParkingLightActive","VehicleNetworkBox.ParkingLightsActive","VehicleNetworkBox.ParkLightIndicationOn","VehicleNetworkBox.ParkLightLeftIndicationOn.1","VehicleNetworkBox.ParkLightLeftOn.1","VehicleNetworkBox.ParkLightRightIndicationOn.1","VehicleNetworkBox.ParkLightRightOn.1","MobilEye.PedFCW","MobilEye.LanesOn","MobilEye.FCWOn","Road.Scout.Left_Lane_Left_Marker"
19666,1968500,168572,0.0029,-0.029,-0.9831,NA,NA,NA,NA,0.975586,0,0.325195,213,-154,NA,48,NA,587,NA,-0.11,NA,-0.15,NA,-0.041,NA,NA,-38.079918,3484.879395,NA,-1864,1024,0,NA,NA,NA,NA,194,193,195,180,NA,NA,NA,NA,NA,2.8,-3.9,0.4,1.5,NA,NA,NA,NA,0.2,-0.1,-0.1,0.6,NA,NA,NA,NA,31.808001,27.680002,41.824001,62.144005,NA,NA,NA,NA,0.896,4.896,-2.176,3.904,NA,NA,NA,NA,1620,1024,1,NA,16.380209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
19667,1968600,168572,0.0058,-0.0348,-0.9744,NA,NA,NA,NA,0,-0.975586,0.325195,210,-154,NA,48,NA,587,NA,-0.122,NA,-0.15,NA,-0.052,NA,NA,-45.700092,3489.959229,NA,-1859,1024,0,NA,NA,NA,NA,194,193,195,180,NA,NA,NA,NA,NA,2.8,-4,0.3,1.5,NA,NA,NA,NA,0.1,-0.2,-0.3,0.6,NA,NA,NA,NA,32.128002,27.392002,41.856003,62.272003,NA,NA,NA,NA,0.864,4.864,-2.368,3.936,NA,NA,NA,NA,1630,1024,1,NA,16.367188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
19668,1968700,168572,-0.0029,-0.029,-0.986,NA,NA,NA,NA,-0.325195,-0.650391,0.325195,210,-153,NA,48,NA,583,NA,-0.108,NA,-0.153,NA,-0.052,NA,NA,-35.540051,3479.799316,NA,-1864,1024,0,NA,NA,NA,NA,194,193,195,180,NA,NA,NA,NA,NA,2.8,-4,0.3,1.5,NA,NA,NA,NA,0.1,-0.2,-0.3,0.4,NA,NA,NA,NA,32.32,27.104002,41.856003,62.400002,NA,NA,NA,NA,0.928,4.832,-2.4,3.616,NA,NA,NA,NA,1615,1024,1,NA,16.367188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
19669,1968800,168572,0,-0.0261,-0.9773,NA,NA,NA,NA,0,0,0.650391,210,-153,NA,48,NA,583,NA,-0.108,NA,-0.153,NA,-0.052,NA,NA,-104.119972,3545.8396,NA,-1828,1024,0,NA,NA,NA,NA,194,193,195,180,NA,NA,NA,NA,NA,2.9,-4,0.3,1.5,NA,NA,NA,NA,0,-0.3,-0.3,0.5,NA,NA,NA,NA,32.768002,26.592001,41.920002,62.624004,NA,NA,NA,NA,0.896,4.768,-2.336,3.872,NA,NA,NA,NA,1717,1024,1,NA,16.37587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
19670,1968900,168572,0.0029,-0.0348,-1.0121,4045,NA,NA,NA,0.325195,0,0.325195,210,-153,NA,48,NA,583,NA,-0.108,NA,-0.153,NA,-0.052,NA,NA,-83.799988,3555.999756,NA,-1854,1024,0,278,NA,NA,NA,194,193,195,180,NA,NA,NA,NA,NA,2.9,-4,0.2,1.5,NA,NA,NA,NA,0,-0.3,-0.4,0.5,NA,NA,NA,NA,32.992001,26.304001,41.920002,62.688004,NA,NA,NA,NA,0.928,4.768,-2.496,3.808,NA,NA,NA,NA,1701,1024,1,NA,16.39323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
19671,1969000,168572,0.0087,-0.0203,-0.986,NA,NA,NA,NA,0.650391,0.325195,0.325195,210,-153,NA,48,NA,583,NA,-0.108,NA,-0.153,NA,-0.052,NA,NA,-68.560028,3555.999512,NA,-1869,1024,0,NA,NA,NA,NA,194,193,195,180,NA,NA,NA,NA,NA,3,-3.9,0.2,1.5,NA,NA,NA,NA,0.1,-0.5,-0.3,0.5,NA,NA,NA,NA,33.280003,26.176001,41.984001,62.784004,NA,NA,NA,NA,0.96,4.544,-2.432,3.84,NA,NA,NA,NA,1686,1024,1,NA,16.388889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
19672,1969100,168572,0.0116,-0.0319,-0.9918,NA,18,NA,10,0.325195,-0.650391,0.650391,210,-153,NA,48,NA,582,NA,-0.096,NA,-0.15,NA,-0.061,NA,96.510002,-66.020065,3540.759766,31.265936,-1864,1024,0,NA,121.31884,1,10,194,193,195,180,NA,NA,NA,NA,11,3,-3.9,0.2,1.5,NA,NA,NA,NA,0,-0.3,-0.4,0.5,NA,NA,NA,NA,33.696003,25.568001,42.016003,63.008003,NA,NA,NA,NA,0.992,4.672,-2.528,3.936,NA,NA,NA,NA,1676,1024,1,17.397009,16.380209,NA,48868000,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
19673,1969200,168572,0.0116,-0.0203,-0.9744,4040,NA,NA,NA,0.325195,0,0.325195,219,-153,NA,48,NA,582,NA,-0.096,NA,-0.15,NA,-0.061,NA,NA,-68.560028,3495.039551,NA,-1838,1024,0,211,NA,NA,NA,194,193,195,180,197,NA,NA,NA,NA,3,-3.9,0.1,1.5,-3,NA,NA,NA,0,-0.3,-0.5,0.5,0.1,NA,NA,NA,33.920002,25.280001,42.048,63.136002,102.112007,NA,NA,NA,0.992,4.64,-2.592,3.904,-1.92,NA,NA,NA,1656,1024,1,NA,16.39757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
19674,1969300,168572,0.0203,-0.0319,-0.9773,NA,NA,NA,NA,0.325195,0,0.650391,219,-153,NA,48,NA,581,NA,-0.092,NA,-0.084,NA,-0.069,NA,NA,-58.399994,3515.359619,NA,-1859,1024,0,NA,NA,NA,NA,194,193,195,180,197,NA,NA,NA,NA,3,-3.9,0.1,1.5,-2.9,NA,NA,NA,0,-0.4,-0.4,0.4,0.1,NA,NA,NA,34.144001,24.960001,42.080002,63.232002,101.952003,NA,NA,NA,0.992,4.608,-2.592,3.872,-1.6,NA,NA,NA,1656,1024,1,NA,16.40625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
19675,1969400,168572,0.0203,-0.0232,-0.9802,4042,NA,NA,NA,NA,NA,NA,219,-151,NA,47,NA,574,NA,-0.105,NA,-0.105,NA,-0.072,NA,NA,-58.400089,3484.879395,NA,-1844,1024,0,179,NA,NA,NA,194,193,195,180,197,NA,NA,NA,NA,3,-3.9,0.1,1.5,-3,NA,NA,NA,0,-0.3,0,0.4,0.2,NA,NA,NA,34.592003,24.384001,42.112003,63.488003,101.568008,NA,NA,NA,0.96,4.672,-2.112,3.904,-1.44,NA,NA,NA,1640,1024,1,NA,16.410591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
